1,0935850000,1313326600008,520034000271291,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
2,0935850001,1313326600016,520034000271292,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
3,0935850002,1313326600024,520034000271293,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
4,0935850003,1313326600032,520034000271294,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
5,0935850004,1313326600040,520034000271295,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
6,0935850005,1313326600057,520034000271296,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
7,0935850006,1313326600065,520034000271297,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
8,0935850007,1313326600073,520034000271298,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
9,0935850008,1313326600081,520034000271299,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
10,0935850009,1313326600099,520034000271300,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
11,0935850010,1313326600107,520034000271301,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
12,0935850011,1313326600115,520034000271302,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
13,0935850012,1313326600123,520034000271303,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
14,0935850013,1313326600131,520034000271304,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
15,0935850014,1313326600149,520034000271305,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
16,0935850015,1313326600156,520034000271306,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
17,0935850016,1313326600164,520034000271307,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
18,0935850017,1313326600172,520034000271308,postpaid,S3400,BOS,SIT,1,Dummy,1,3,kanoku49@aware.postbox.in.th,7,2017-03-23,2017-03-24,Test,2017-02-26,1,2017-03-23,1,InUsed
